iteration,mean_reward,mean_final_param_err,critic_loss,actor_loss,alpha
10,11.063433647155762,0.24321068823337555,nan,nan,1.0
20,10.400125503540039,0.25208282470703125,nan,nan,1.0
30,17.4345703125,0.14304476976394653,12.927877426147461,-5.526958465576172,0.909854531288147
40,22.918107986450195,0.11412961781024933,9.322952270507812,-11.293991088867188,0.7567060589790344
50,24.76866340637207,0.10508453845977783,13.466218948364258,-17.077661514282227,0.6278883218765259
60,24.771560668945312,0.09623514115810394,27.7801513671875,-22.10840606689453,0.5213472843170166
70,26.220470428466797,0.0785306990146637,14.926788330078125,-23.850231170654297,0.43320369720458984
80,25.954374313354492,0.10692529380321503,15.883456230163574,-25.080745697021484,0.36015090346336365
90,25.679073333740234,0.11312291771173477,11.291568756103516,-23.806550979614258,0.30004605650901794
100,26.35719871520996,0.1031324714422226,6.05403995513916,-23.10247230529785,0.25054898858070374
110,26.942096710205078,0.08262065052986145,1.6221226453781128,-21.21103858947754,0.21018579602241516
120,27.868968963623047,0.08283263444900513,2.9426822662353516,-18.295833587646484,0.17692090570926666
130,27.684799194335938,0.091688372194767,1.587424397468567,-17.495105743408203,0.149403378367424
140,28.33697509765625,0.08357203751802444,1.5332324504852295,-16.043811798095703,0.1263844519853592
150,28.632858276367188,0.07360103726387024,1.6073646545410156,-15.58166217803955,0.10714589804410934
160,28.760906219482422,0.0737019032239914,1.743981957435608,-15.080896377563477,0.09101209789514542
170,28.72869110107422,0.08354802429676056,1.710637092590332,-14.733284950256348,0.07726800441741943
180,29.079204559326172,0.08187755942344666,1.3131787776947021,-15.437583923339844,0.06565576791763306
190,29.31414794921875,0.08165869861841202,1.6318819522857666,-15.21535873413086,0.05600711703300476
200,29.113021850585938,0.07972171902656555,1.1008086204528809,-15.287445068359375,0.05000000074505806
210,29.10346031188965,0.09272772073745728,1.1386926174163818,-15.574419021606445,0.05000000074505806
220,29.399723052978516,0.08355109393596649,1.5786139965057373,-16.181659698486328,0.05000000074505806
230,29.31359100341797,0.08195321261882782,1.4245014190673828,-15.028552055358887,0.05000000074505806
240,28.899524688720703,0.09714311361312866,1.4488739967346191,-14.904727935791016,0.05000000074505806
250,29.030380249023438,0.08346685767173767,1.7102532386779785,-14.935147285461426,0.05000000074505806
260,29.570846557617188,0.07668455690145493,1.1773979663848877,-15.69748592376709,0.05000000074505806
270,29.273426055908203,0.08046504855155945,2.219651699066162,-15.195817947387695,0.05000000074505806
280,29.077030181884766,0.09066995978355408,1.5419065952301025,-16.024311065673828,0.05000000074505806
290,29.014047622680664,0.07963211834430695,1.5872912406921387,-15.621309280395508,0.05000000074505806
300,28.68515396118164,0.08179152756929398,0.8428524732589722,-15.113208770751953,0.05000000074505806
310,29.267074584960938,0.07782945036888123,1.233091950416565,-15.304595947265625,0.05000000074505806
320,29.332698822021484,0.07331548631191254,1.1998419761657715,-15.622957229614258,0.05000000074505806
330,29.259204864501953,0.0753079354763031,0.5833349227905273,-15.36037826538086,0.05000000074505806
340,29.082435607910156,0.0789392739534378,1.6291111707687378,-15.622258186340332,0.05000000074505806
350,29.148164749145508,0.09145567566156387,1.3299362659454346,-15.28817081451416,0.05000000074505806
360,29.11863136291504,0.07660757750272751,0.9864400029182434,-15.42946720123291,0.05000000074505806
370,29.486713409423828,0.07777387648820877,1.134615421295166,-15.16490364074707,0.05000000074505806
380,29.34378433227539,0.07741409540176392,0.9493904709815979,-15.296430587768555,0.05000000074505806
390,29.665019989013672,0.07108719646930695,1.2703179121017456,-15.241228103637695,0.05000000074505806
400,29.08222198486328,0.08379759639501572,1.127255916595459,-15.193319320678711,0.05000000074505806
410,29.048824310302734,0.07980959117412567,0.6536656618118286,-14.56580924987793,0.05000000074505806
420,29.496017456054688,0.0763661116361618,0.7799617648124695,-15.333431243896484,0.05000000074505806
430,28.933887481689453,0.08641265332698822,0.980863630771637,-15.068401336669922,0.05000000074505806
440,29.142353057861328,0.08544695377349854,1.2115428447723389,-14.446077346801758,0.05000000074505806
450,29.63335609436035,0.08224673569202423,0.6764190793037415,-15.176643371582031,0.05000000074505806
